anio;trimestre;provincia;media_bajada_mbps;adsl;cablemodem;fibra_optica;wireless;otras_tecnologias;total_tecnologia;512kbps;512kbps_1mbps;1mbps_6mbps;6mbps_10mbps;10mbps_20mbps;20mbps_30mbps;30mbps;otras_velocidades;total_velocidad;accesos_100_hogares
2022;3;Buenos Aires;70;339648;2748325;1436433;126846;70416;4721668;29985;27709;290315;297915;267044;12419;3618689;650821;4721668;78.11
2022;3;Capital Federal;101;140791;1240125;129218;5758;31787;1547679;5170;5742;34371;67829;51946;28692;1253105;1050477;1547679;122.28
2022;3;Catamarca;61;10010;10495;46224;1329;2235;70293;710;3840;3107;5389;5099;3737;50298;20208;70293;65.33
2022;3;Chaco;53;27164;61800;44645;8178;2359;144146;4610;9870;16782;18938;8049;15828;79390;30711;144146;43.86
2022;3;Chubut;16;45377;72212;9574;29784;8831;165778;1090;1444;45707;3094;34682;15309;17563;200024;165778;84.38
2022;3;Cordoba;56;163770;465461;338570;6107;9797;1038668;990;11312;153324;111615;70989;27112;650344;130873;1038668;88.31
2022;3;Corrientes;45;36508;77140;18619;7256;5323;144846;670;3865;23427;23948;7776;21706;56950;70107;144846;48.21
2022;3;Entre Rios;42;60345;132952;36971;26098;12593;268959;1070;5549;47210;46855;18263;32021;102195;160759;268959;63.67
2022;3;Formosa;30;14470;25880;11041;16935;2120;68538;970;3070;23538;19545;6194;5640;17704;58900;68538;43.76
2022;3;Jujuy;32;19257;52978;40172;4033;2383;118823;580;1879;19135;15254;36083;5190;45895;0;118823;58.91
2022;3;La Pampa;18;7796;60078;23551;20216;4451;116092;680;1887;61540;9653;11592;5609;22731;30012;116092;96.59
2022;3;La Rioja;44;6842;53899;19697;6395;310;86864;180;6890;2842;3375;24219;5331;50390;0;86864;80.66
2022;3;Mendoza;34;37659;78858;142615;27625;2766;289523;1030;2953;44232;21977;48201;17243;150043;40771;289523;51.03
2022;3;Misiones;49;35513;88902;39046;11074;7622;182157;510;3749;36628;20758;12676;19615;80330;8035;182157;51.82
2022;3;Neuquen;48;29352;75815;29396;27482;1116;163161;1340;9910;38485;1408;92;67;78713;140858;163161;80.37
2022;3;Rio Negro;34;35552;48260;41017;1676;18969;160558;1110;1221;32936;1786;27934;13629;42596;240271;160558;67.98
2022;3;Salta;41;40006;96984;50254;10082;7215;204541;1140;149;32923;71199;5662;1001;85661;60491;204541;57.76
2022;3;San Juan;16;38570;22723;12328;2186;7918;103399;240;2027;30324;11247;22157;678;19221;110619;103399;50.8
2022;3;San Luis;19;6860;29363;248;70614;14985;122070;600;3070;6563;20813;12061;67438;13;140815;122070;81.74
2022;3;Santa Cruz;13;10170;24047;10815;3896;5820;49510;520;6841;12342;11313;11378;2333;4604;64700;49510;43.19
2022;3;Santa Fe;45;183740;426255;215189;43079;19547;887810;4680;11132;132709;198588;70897;57455;396352;200209;887810;78.55
2022;3;Santiago Del Estero;18;15385;80937;13170;6618;2922;119032;1780;1384;28357;58982;16087;9100;12342;79200;119032;47.98
2022;3;Tierra Del Fuego;11;12754;39963;403;1250;6510;53896;220;8310;12002;14815;20102;1752;1021;30351;53896;99.51
2022;3;Tucuman;53;77738;18518;162345;3997;5190;263117;390;2047;32571;39018;25214;4348;159600;28000;263117;61.14
2022;2;Buenos Aires;66;350652;2719613;1399043;126847;71028;4667183;30639;28323;295238;307554;273954;129869;3535757;650849;4667183;77.58
2022;2;Capital Federal;94;145491;1232226;121506;5757;31791;1536771;5170;598;36036;72434;55372;31571;1229254;1050607;1536771;121.31
2022;2;Catamarca;57;11928;9430;42087;1329;2234;67008;710;4130;3678;6155;7165;3393;43926;20207;67008;62.4
2022;2;Chaco;51;29552;61284;42194;8178;2356;143564;4610;1047;17603;20109;8391;15974;76271;30708;143564;43.79
2022;2;Chubut;15;45377;69242;9574;29784;8828;162805;1090;1444;45804;31217;3429;14526;15394;200021;162805;83.19
2022;2;Cordoba;54;179181;467595;308895;61107;9657;1026435;990;11971;160486;120485;71923;28645;619400;130426;1026435;87.48
2022;2;Corrientes;43;38468;75769;18181;7256;5323;144997;670;3937;24253;24842;8001;21719;55071;70107;144997;48.35
2022;2;Entre Rios;40;63794;131029;35839;26098;12592;269352;1070;5656;48637;48557;18512;32355;98769;160759;269352;63.9
2022;2;Formosa;28;15397;25487;9875;1691;2120;67881;970;4070;23834;19706;633;5910;16326;59000;67881;43.42
2022;2;Jujuy;29;20303;54495;34184;3955;2377;115314;580;1829;19458;1579;37786;5490;37391;20453;115314;57.32
2022;2;La Pampa;16;7796;59273;22994;202;1264;111527;680;1887;62546;9842;118;5247;17125;30012;111527;92.98
2022;2;La Rioja;43;7759;52656;19189;6395;310;86030;180;7280;3179;389;23814;5481;48920;0;86030;80.14
2022;2;Mendoza;30;37663;77504;135504;26964;1927;279562;1030;2954;44961;22557;64138;19543;121366;3094;279562;49.39
2022;2;Misiones;46;37208;89260;33649;11074;7622;178813;510;3808;37254;21712;12774;19757;75107;8035;178813;51.0
2022;2;Neuquen;47;29749;74905;28824;27371;1119;161968;1340;9990;38826;15066;9205;2039;76982;180717;161968;80.02
2022;2;Rio Negro;33;36050;47040;40946;1676;18968;159764;1110;1227;33364;17938;27168;13714;41972;24027;159764;67.85
2022;2;Salta;39;42665;96178;47076;10068;719;203177;1140;153;33732;72661;6012;1156;81478;60494;203177;57.54
2022;2;San Juan;14;38570;19734;12328;21859;7916;100407;240;2027;30385;11276;24649;3728;16701;110617;100407;49.46
2022;2;San Luis;19;6860;29034;248;70614;14985;121741;600;3060;6840;21217;11052;67438;13;140815;121741;81.76
2022;2;Santa Cruz;12;10170;23725;10815;3896;5790;49185;520;6841;12348;11369;11885;2454;3592;64400;49185;43.15
2022;2;Santa Fe;42;198492;428233;189503;43081;1955;878859;4680;11757;138534;204381;74133;58114;373888;170584;878859;77.9
2022;2;Santiago Del Estero;16;16561;80338;11605;6618;2922;118044;1780;1401;29581;59931;14606;8830;10672;79200;118044;47.7
2022;2;Tierra Del Fuego;11;12754;39837;403;1250;6510;53770;220;8310;12052;14828;19968;1712;1006;30351;53770;99.86
2022;2;Tucuman;50;85893;15327;148823;3997;4870;254527;390;2195;34461;43513;23634;4863;145541;28100;254527;59.31
2022;1;Buenos Aires;63;392045;2728865;1242121;125521;66872;4555424;31591;30056;313382;321756;290127;161183;3381049;26028;4555424;76.08
2022;1;Capital Federal;88;102290;1217225;62308;5784;29934;1417541;5270;5575;39918;7739;61053;43289;1188072;10717;1417541;111.8
2022;1;Catamarca;51;14181;15517;29118;1328;2234;62378;710;4560;4386;7009;8773;3761;35715;20207;62378;58.21
2022;1;Chaco;46;32391;64546;36662;8164;2356;144119;4610;1099;16888;21235;20898;13012;62946;7058;144119;44.06
2022;1;Chubut;13;44133;66667;9184;30592;21052;171628;1130;1677;61369;31856;3308;13871;14055;150607;171628;88.05
2022;1;Cordoba;50;195610;501799;235838;60843;9713;1003803;1000;12782;165922;126009;73967;34892;577027;130104;1003803;85.76
2022;1;Corrientes;38;40462;79093;10875;6774;5374;142578;670;4029;24563;25665;27077;10452;43631;70094;142578;47.64
2022;1;Entre Rios;36;67159;138986;23091;26098;12592;267926;1070;5745;50075;4962;42294;21578;81757;16075;267926;63.7
2022;1;Formosa;30;16397;15927;5146;16876;2020;54548;970;4480;24113;6945;6613;7160;15028;58800;54548;34.96
